,v1,v2,res
0,8.317938221176613,3.840928894672877,-1
1,5.885528007907464,8.330839520487778,1
2,9.933254936941943,1.5731899068588717,-1
3,6.804200375102215,8.399658729098391,1
4,5.074807871457407,6.352770213109876,1
5,8.746820305154525,2.336112613776631,-1
6,8.664816968375602,2.3203192713339504,-1
7,4.958951872798737,9.513267312365453,1
8,8.093711576889689,1.2122181404020183,-1
9,6.838235918766768,8.101909536706989,1
10,6.740344739896841,1.148168851317316,-1
11,9.762775578172075,3.296065177245213,-1
12,3.9095012288665245,6.255252461014783,1
13,4.665199448244854,7.236504147297814,1
14,5.289093490847403,0.07860061885655578,-1
15,5.777719357044738,5.199194314296726,-1
16,6.059677624656169,7.185271629862161,1
17,4.788370882600241,4.0810061736325345,-1
18,2.04421936119639,4.198293477235367,1
19,7.083193577246522,6.366551315373853,-1
20,9.440411551045992,2.9169553649987776,-1
21,5.119938997792791,6.6091202375001545,1
22,0.7098135119708548,5.623065708573474,1
23,8.311288332236487,7.993216626187458,-1
24,5.65230755489683,9.07072344381958,1
25,2.500061447840334,4.0645991151223715,1
26,1.2484756851086032,6.507436520201031,1
27,7.642617408902077,0.8050337894855453,-1
28,7.286139808702266,8.945942631911262,1
29,9.702046103155086,8.37872320649775,-1
30,4.112526179713424,6.254586794453006,1
31,0.647982761429251,0.9026513176283257,-1
32,2.0419513938359257,4.0126006299656645,1
33,4.753699812396327,5.878304542454027,1
34,6.910664062993936,4.295495440960395,-1
35,1.950395441813616,3.0684301383747528,1
36,2.7819287225027614,2.0970245801123433,-1
37,0.419410429670497,4.385632640443343,1
38,4.915078221641941,4.6261354802764085,-1
39,7.001979645884445,0.9213346430097868,-1
40,4.2276697576649465,2.447736485800247,-1
41,7.341887463369028,5.9536327132699345,-1
42,3.3118698306909797,6.325369495892328,1
43,1.071791345249823,3.1761068532031067,1
44,7.594782524488144,7.980733075260499,1
45,7.9160489395926685,4.585492619576308,-1
46,5.169086364929916,8.270885213640476,1
47,4.805494107570233,1.859139131014803,-1
48,9.918564304918606,1.4285379140402998,-1
49,8.286916294756603,0.5430108341485707,-1
50,0.456476372524357,2.1117678084802294,1
51,3.782219129208757,5.999694931899797,1
52,3.336225536718178,5.129021971683417,1
53,0.4082907801899116,5.990268804496578,1
54,1.9526844962080836,1.679629480853021,-1
55,6.045008277601185,5.213511831662646,-1
56,3.0006882575452276,1.605220652981012,-1
57,5.182704989294926,3.7603905855773867,-1
58,3.785050812789054,5.9074000517940375,1
59,1.465820721059995,3.102296680731195,1
60,4.747258704478416,5.443174542740998,1
61,9.654194379305364,5.000593987039878,-1
62,5.172038334201089,4.657906012438703,-1
63,7.6426383587475355,9.738030238232197,1
64,7.036605002378478,7.2367918115985805,1
65,9.456404915577226,4.115818985706269,-1
66,5.876627922721399,8.339118138381549,1
67,3.507456324638164,4.190021266902887,1
68,5.097381460597834,9.342897552756714,1
69,7.040331447068821,7.3205066564442145,1
70,3.426613390545503,4.385460981267667,1
71,0.638129509746489,3.920686206623374,1
72,3.8467568876342284,1.0995124227559938,-1
73,5.75423498023188,7.123998411328399,1
74,7.930072653831463,0.7504454202904542,-1
75,7.300651410404235,1.3614332842803367,-1
76,6.903293203568893,4.15916163168372,-1
77,5.700354548994641,0.601404362018163,-1
78,4.525779065696229,4.050091752489808,-1
79,6.01132273485395,5.002305282649571,-1
80,6.35481833021322,6.542748011793984,1
81,7.753039790997914,8.29781518984707,1
82,5.876531865276419,9.171480801617415,1
83,2.354999139854894,8.616158699372251,1
84,5.7344424902213245,3.825389157105321,-1
85,2.9525833317462458,2.4380288290378305,-1
86,8.776008908067748,3.8775595281004396,-1
87,4.888433513686055,1.22951979903266,-1
88,7.259539724622087,4.3103517395474755,-1
89,7.549507638543699,2.91905762112596,-1
